skip,climate,hz_cz,weather_file,ashrae_climate,codes_file
,CZ01,,CA_EUREKA_725940S_CZ2022.epw,CZ01,deer-dmo-1972-1985.csv
,CZ02,,CA_NAPA-CO_724955S_CZ2022.epw,CZ02,deer-dmo-1972-1985.csv
,CZ03,,CA_OAKLAND-METRO-AP_724930S_CZ2022.epw,CZ03,deer-dmo-1972-1985.csv
,CZ04,,CA_SAN-JOSE-IAP_724945S_CZ2022.epw,CZ04,deer-dmo-1972-1985.csv
,CZ05,,CA_SANTA-MARIA-PUBLIC-AP_723940S_CZ2022.epw,CZ05,deer-dmo-1972-1985.csv
,CZ06,,CA_LOS-ANGELES-IAP_722950S_CZ2022.epw,CZ06,deer-dmo-1972-1985.csv
,CZ07,,CA_SAN-DIEGO-LINDBERGH-FLD_722900S_CZ2022.epw,CZ07,deer-dmo-1972-1985.csv
,CZ08,,CA_LONG-BEACH-DAUGHERTY-FLD_722970S_CZ2022.epw,CZ08,deer-dmo-1972-1985.csv
,CZ09,,CA_LOS-ANGELES-DOWNTOWN-USC_722874S_CZ2022.epw,CZ09,deer-dmo-1972-1985.csv
,CZ10,,CA_RIVERSIDE-MUNI_722869S_CZ2022.epw,CZ10,deer-dmo-1972-1985.csv
,CZ11,,CA_RED-BLUFF-MUNI-AP_725910S_CZ2022.epw,CZ11,deer-dmo-1972-1985.csv
,CZ12,,CA_STOCKTON-METRO-AP_724920S_CZ2022.epw,CZ12,deer-dmo-1972-1985.csv
,CZ13,,CA_FRESNO-YOSEMITE-IAP_723890S_CZ2022.epw,CZ13,deer-dmo-1972-1985.csv
,CZ14,,CA_DAGGETT-BARSTOW-AP_723815S_CZ2022.epw,CZ14,deer-dmo-1972-1985.csv
,CZ15,,CA_EL-CENTRO-NAF_722810S_CZ2022.epw,CZ15,deer-dmo-1972-1985.csv
,CZ16,,CA_BISHOP-AP_724800S_CZ2022.epw,CZ16,deer-dmo-1972-1985.csv
