skip,case_name,:main_cool_coil_type,:main_cool_coil_cop,:main_heat_coil_type,:main_heat_coil_cop,:main_dx_comp_speed,:main_atu_reheat_coil_type
,NE-dxAC_equip-pkgTerm-EER-9.41-Std,DX-AIR,3.19,COMBUSTION,,CONSTANT,RESISTANCE
,NE-dxAC_equip-pkgTerm-EER-8.56-Std,DX-AIR,2.9,COMBUSTION,,CONSTANT,RESISTANCE
,NE-dxAC_equip-pkgTerm-EER-7.71-Std,DX-AIR,2.62,COMBUSTION,,CONSTANT,RESISTANCE
,NE-dxAC_equip-pkgTerm-EER-11.9-Std,DX-AIR,4.03,COMBUSTION,,CONSTANT,RESISTANCE
,NE-dxAC_equip-pkgTerm-EER-10.70-Std,DX-AIR,3.63,COMBUSTION,,CONSTANT,RESISTANCE
,NE-dxAC_equip-pkgTerm-EER-9.5-Std,DX-AIR,3.22,COMBUSTION,,CONSTANT,RESISTANCE
,NE-dxHP_equip-pkgTerm-EER-9.31-Std,DX-AIR,3.15,DX-AIR,2.72,CONSTANT,RESISTANCE
,NE-dxHP_equip-pkgTerm-EER-8.46-Std,DX-AIR,2.87,DX-AIR,2.61,CONSTANT,RESISTANCE
,NE-dxHP_equip-pkgTerm-EER-7.61-Std,DX-AIR,2.58,DX-AIR,2.51,CONSTANT,RESISTANCE
,NE-dxHP_equip-pkgTerm-EER-11.9-Std,DX-AIR,4.03,DX-AIR,3.34,CONSTANT,RESISTANCE
,NE-dxHP_equip-pkgTerm-EER-10.70-Std,DX-AIR,3.63,DX-AIR,3.13,CONSTANT,RESISTANCE
,NE-dxHP_equip-pkgTerm-EER-9.5-Std,DX-AIR,3.22,DX-AIR,2.92,CONSTANT,RESISTANCE
,NE-dxAC_equip-pkgTerm-EER-9.41-Msr,DX-AIR,3.82,COMBUSTION,,CONSTANT,RESISTANCE
,NE-dxAC_equip-pkgTerm-EER-8.56-Msr,DX-AIR,3.48,COMBUSTION,,CONSTANT,RESISTANCE
,NE-dxAC_equip-pkgTerm-EER-7.71-Msr,DX-AIR,3.14,COMBUSTION,,CONSTANT,RESISTANCE
,NE-dxAC_equip-pkgTerm-EER-11.9-Msr,DX-AIR,4.83,COMBUSTION,,CONSTANT,RESISTANCE
,NE-dxAC_equip-pkgTerm-EER-10.70-Msr,DX-AIR,4.35,COMBUSTION,,CONSTANT,RESISTANCE
,NE-dxAC_equip-pkgTerm-EER-9.5-Msr,DX-AIR,3.87,COMBUSTION,,CONSTANT,RESISTANCE
,NE-dxHP_equip-pkgTerm-EER-9.31-Msr,DX-AIR,3.78,DX-AIR,3.26,CONSTANT,RESISTANCE
,NE-dxHP_equip-pkgTerm-EER-8.46-Msr,DX-AIR,3.44,DX-AIR,3.13,CONSTANT,RESISTANCE
,NE-dxHP_equip-pkgTerm-EER-7.61-Msr,DX-AIR,3.1,DX-AIR,3.01,CONSTANT,RESISTANCE
,NE-dxHP_equip-pkgTerm-EER-11.9-Msr,DX-AIR,4.83,DX-AIR,4.01,CONSTANT,RESISTANCE
,NE-dxHP_equip-pkgTerm-EER-10.70-Msr,DX-AIR,4.35,DX-AIR,3.76,CONSTANT,RESISTANCE
,NE-dxHP_equip-pkgTerm-EER-9.5-Msr,DX-AIR,3.87,DX-AIR,3.5,CONSTANT,RESISTANCE
