skip,climate,hz_cz,weather_file,climate_zone,codes_file
,CZ01,,CA_EUREKA_725940S_CZ2022.epw,1,deer-sfm-1975-1985.csv
,CZ02,,CA_NAPA-CO_724955S_CZ2022.epw,2,deer-sfm-1975-1985.csv
,CZ03,,CA_OAKLAND-METRO-AP_724930S_CZ2022.epw,3,deer-sfm-1975-1985.csv
,CZ04,,CA_SAN-JOSE-IAP_724945S_CZ2022.epw,4,deer-sfm-1975-1985.csv
,CZ05,,CA_SANTA-MARIA-PUBLIC-AP_723940S_CZ2022.epw,5,deer-sfm-1975-1985.csv
,CZ06,,CA_LOS-ANGELES-IAP_722950S_CZ2022.epw,6,deer-sfm-1975-1985.csv
,CZ07,,CA_SAN-DIEGO-LINDBERGH-FLD_722900S_CZ2022.epw,7,deer-sfm-1975-1985.csv
,CZ08,,CA_LONG-BEACH-DAUGHERTY-FLD_722970S_CZ2022.epw,8,deer-sfm-1975-1985.csv
,CZ09,,CA_LOS-ANGELES-DOWNTOWN-USC_722874S_CZ2022.epw,9,deer-sfm-1975-1985.csv
