bldgtype,era,bldgloc,sum_bldg
SFm,Ex,CZ01,53328.4
SFm,Ex,CZ02,307518.0
SFm,Ex,CZ03,923823.0
SFm,Ex,CZ04,387860.0
SFm,Ex,CZ05,76903.9
SFm,Ex,CZ06,700930.0
SFm,Ex,CZ07,485094.0
SFm,Ex,CZ08,774540.0
SFm,Ex,CZ09,1152110.0
SFm,Ex,CZ10,936509.0
SFm,Ex,CZ11,340753.0
SFm,Ex,CZ12,1213440.0
SFm,Ex,CZ13,581667.0
SFm,Ex,CZ14,256775.0
SFm,Ex,CZ15,88571.7
SFm,Ex,CZ16,125392.0
SFm,New,CZ01,691.593
SFm,New,CZ02,752.18
SFm,New,CZ03,2027.37
SFm,New,CZ04,1786.1
SFm,New,CZ05,234.697
SFm,New,CZ06,4614.87
SFm,New,CZ07,2864.73
SFm,New,CZ08,2119.69
SFm,New,CZ09,2676.74
SFm,New,CZ10,8329.54
SFm,New,CZ11,2777.89
SFm,New,CZ12,7434.65
SFm,New,CZ13,3783.74
SFm,New,CZ14,942.904
SFm,New,CZ15,297.27
SFm,New,CZ16,230.642
MFm,Ex,CZ01,13460.8
MFm,Ex,CZ02,70611.0
MFm,Ex,CZ03,573728.0
MFm,Ex,CZ04,176130.0
MFm,Ex,CZ05,24782.6
MFm,Ex,CZ06,419878.0
MFm,Ex,CZ07,332118.0
MFm,Ex,CZ08,441481.0
MFm,Ex,CZ09,745035.0
MFm,Ex,CZ10,218832.0
MFm,Ex,CZ11,53032.5
MFm,Ex,CZ12,245608.0
MFm,Ex,CZ13,142962.0
MFm,Ex,CZ14,22588.7
MFm,Ex,CZ15,34178.6
MFm,Ex,CZ16,16809.4
MFm,New,CZ01,506.783
MFm,New,CZ02,1319.2
MFm,New,CZ03,4112.52
MFm,New,CZ04,1633.12
MFm,New,CZ05,2.061
MFm,New,CZ06,3552.97
MFm,New,CZ07,3015.7
MFm,New,CZ08,4853.0
MFm,New,CZ09,4521.86
MFm,New,CZ10,1095.99
MFm,New,CZ11,131.395
MFm,New,CZ12,2529.79
MFm,New,CZ13,522.756
MFm,New,CZ14,1.977
MFm,New,CZ15,1.308
MFm,New,CZ16,2.363
DMo,Ex,CZ01,780.6
DMo,Ex,CZ02,6141.8
DMo,Ex,CZ03,22140.1
DMo,Ex,CZ04,5202.5
DMo,Ex,CZ05,969.0
DMo,Ex,CZ06,2280.5
DMo,Ex,CZ07,1792.5
DMo,Ex,CZ08,13824.4
DMo,Ex,CZ09,24005.5
DMo,Ex,CZ10,40432.1
DMo,Ex,CZ11,24424.1
DMo,Ex,CZ12,18731.9
DMo,Ex,CZ13,38602.6
DMo,Ex,CZ14,22585.1
DMo,Ex,CZ15,12343.2
DMo,Ex,CZ16,8715.2
DMo,New,CZ01,0.58
DMo,New,CZ02,138.481
DMo,New,CZ03,182.561
DMo,New,CZ04,283.848
DMo,New,CZ05,17.207
DMo,New,CZ06,189.473
DMo,New,CZ07,37.843
DMo,New,CZ08,311.654
DMo,New,CZ09,825.375
DMo,New,CZ10,592.409
DMo,New,CZ11,350.794
DMo,New,CZ12,332.117
DMo,New,CZ13,287.548
DMo,New,CZ14,209.052
DMo,New,CZ15,600.585
DMo,New,CZ16,90.614
